country,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,9370000.0,8880000.0,8420000.0,7970000.0,7560000.0,7160000.0,6850000.0,6630000.0,6480000.0,6410000.0,6410000.0,6410000.0,6410000.0,6410000.0,6410000.0,6410000.0,6430000.0,6470000.0,6530000.0,6610000.0,6710000.0,6810000.0,6920000.0,7020000.0,7130000.0,7240000.0,7360000.0,7480000.0,7570000.0,7670000.0,7760000.0,7860000.0,7970000.0,8090000.0,8210000.0,8330000.0,8470000.0,8620000.0,8790000.0,8970000.0,9160000.0,9360000.0,9570000.0,9780000.0,10000000.0,10200000.0,10500000.0,10800000.0,11000000.0,11300000.0,11600000.0,11900000.0,12200000.0,12400000.0,12700000.0,12900000.0,13000000.0,12500000.0,11200000.0,10100000.0,9950000.0,10200000.0,10500000.0,10400000.0,10300000.0,10400000.0,10700000.0,10700000.0,10700000.0,12100000.0,14000000.0,15500000.0,16399999.0,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.0,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,39000000.0,40100000.0,41100000.0,42200000.0
Angola,2940000.0,2980000.0,3020000.0,3070000.0,3120000.0,3160000.0,3210000.0,3260000.0,3300000.0,3350000.0,3400000.0,3440000.0,3490000.0,3540000.0,3590000.0,3640000.0,3690000.0,3750000.0,3810000.0,3880000.0,3950000.0,4019999.0,4090000.0,4170000.0,4240000.0,4320000.0,4400000.0,4480000.0,4570000.0,4660000.0,4760000.0,4850000.0,4940000.0,5020000.0,5100000.0,5190000.0,5270000.0,5360000.0,5440000.0,5520000.0,5600000.0,5670000.0,5740000.0,5790000.0,5830000.0,5870000.0,5930000.0,6030000.0,6180000.0,6360000.0,6580000.0,6800000.0,7030000.0,7270000.0,7510000.0,7770000.0,8039999.0,8330000.0,8630000.0,8950000.0,9280000.0,9620000.0,9970000.0,10300000.0,10700000.0,11100000.0,11400000.0,11800000.0,12200000.0,12600000.0,13000000.0,13500000.0,13900000.0,14400000.0,14900000.0,15400000.0,15900000.0,16399999.0,16900000.0,17500000.0,18100000.0,18800000.0,19500000.0,20200000.0,20900000.0,21700000.0,22500000.0,23400000.0,24300000.0,25200000.0,26100000.0,27100000.0,28100000.0,29200000.0,30200000.0,31300000.0,32400000.0,33400000.0,34500000.0,35600000.0,36700000.0
Albania,957000.0,962000.0,967000.0,972000.0,977000.0,982000.0,988000.0,995000.0,1000000.0,1010000.0,1020000.0,1030000.0,1040000.0,1060000.0,1070000.0,1080000.0,1090000.0,1100000.0,1110000.0,1130000.0,1140000.0,1150000.0,1170000.0,1180000.0,1200000.0,1210000.0,1230000.0,1250000.0,1290000.0,1330000.0,1370000.0,1410000.0,1450000.0,1500000.0,1550000.0,1600000.0,1660000.0,1710000.0,1770000.0,1830000.0,1890000.0,1950000.0,2009999.0,2069999.0,2130000.0,2200000.0,2260000.0,2320000.0,2390000.0,2460000.0,2520000.0,2590000.0,2650000.0,2710000.0,2770000.0,2830000.0,2890000.0,2940000.0,2990000.0,3040000.0,3090000.0,3130000.0,3170000.0,3210000.0,3240000.0,3260000.0,3280000.0,3300000.0,3300000.0,3300000.0,3300000.0,3290000.0,3280000.0,3270000.0,3250000.0,3230000.0,3210000.0,3180000.0,3150000.0,3120000.0,3090000.0,3060000.0,3030000.0,3000000.0,2980000.0,2950000.0,2930000.0,2910000.0,2900000.0,2890000.0,2890000.0,2880000.0,2880000.0,2880000.0,2880000.0,2880000.0,2870000.0,2870000.0,2850000.0,2840000.0,2830000.0
United Arab Emirates,58300.0,58800.0,59300.0,59800.0,60400.0,60900.0,61400.0,61900.0,62400.0,63000.0,63500.0,64000.0,64599.0,65099.0,65700.0,66200.0,66800.0,67400.0,67900.0,68500.0,69100.0,69700.0,70300.0,70900.0,71500.0,72100.0,73100.0,74600.0,79800.0,85100.0,90600.0,96100.0,102000.0,108000.0,113000.0,120000.0,126000.0,133000.0,141000.0,149000.0,157000.0,165000.0,174000.0,183000.0,191000.0,214000.0,253000.0,298000.0,345000.0,392000.0,442000.0,492000.0,543000.0,614000.0,707000.0,805000.0,908000.0,1010000.0,1100000.0,1170000.0,1240000.0,1310000.0,1380000.0,1470000.0,1580000.0,1680000.0,1790000.0,1900000.0,2009999.0,2120000.0,2220000.0,2330000.0,2430000.0,2570000.0,2750000.0,2920000.0,3100000.0,3280000.0,3450000.0,3630000.0,3810000.0,3990000.0,4280000.0,4900000.0,5870000.0,6990000.0,7990000.0,8480000.0,8580000.0,8660000.0,8750000.0,8840000.0,8920000.0,8990000.0,9070000.0,9140000.0,9210000.0,9290000.0,9370000.0,9440000.0,9520000.0
Argentina,9610000.0,9900000.0,10200000.0,10500000.0,10800000.0,11100000.0,11400000.0,11700000.0,12000000.0,12200000.0,12400000.0,12700000.0,12900000.0,13100000.0,13300000.0,13600000.0,13800000.0,14100000.0,14300000.0,14600000.0,14900000.0,15200000.0,15500000.0,15800000.0,16100000.0,16399999.0,16700000.0,17000000.0,17400000.0,17700000.0,18000000.0,18400000.0,18700000.0,19000000.0,19400000.0,19700000.0,20000000.0,20300000.0,20700000.0,21000000.0,21400000.0,21700000.0,22100000.0,22400000.0,22800000.0,23100000.0,23500000.0,23800000.0,24200000.0,24600000.0,25000000.0,25400000.0,25900000.0,26300000.0,26700000.0,27100000.0,27600000.0,28000000.0,28500000.0,28900000.0,29400000.0,29800000.0,30300000.0,30700000.0,31200000.0,31700000.0,32200000.0,32600000.0,33100000.0,33600000.0,34000000.0,34500000.0,34900000.0,35400000.0,35800000.0,36200000.0,36700000.0,37100000.0,37500000.0,37900000.0,38300000.0,38700000.0,39100000.0,39500000.0,39900000.0,40300000.0,40700000.0,41100000.0,41500000.0,42000000.0,42400000.0,42800000.0,43300000.0,43700000.0,44100000.0,44400000.0,44700000.0,45000000.0,45300000.0,45500000.0,45800000.0
Armenia,1070000.0,1080000.0,1090000.0,1100000.0,1110000.0,1120000.0,1130000.0,1140000.0,1150000.0,1160000.0,1170000.0,1180000.0,1190000.0,1200000.0,1210000.0,1220000.0,1230000.0,1250000.0,1260000.0,1270000.0,1280000.0,1290000.0,1300000.0,1320000.0,1330000.0,1340000.0,1360000.0,1390000.0,1420000.0,1470000.0,1510000.0,1550000.0,1600000.0,1660000.0,1710000.0,1770000.0,1840000.0,1900000.0,1970000.0,2040000.0,2110000.0,2170000.0,2230000.0,2300000.0,2360000.0,2420000.0,2480000.0,2530000.0,2590000.0,2650000.0,2710000.0,2770000.0,2830000.0,2900000.0,2970000.0,3040000.0,3100000.0,3140000.0,3170000.0,3200000.0,3240000.0,3270000.0,3300000.0,3330000.0,3350000.0,3370000.0,3450000.0,3560000.0,3620000.0,3570000.0,3460000.0,3370000.0,3320000.0,3300000.0,3270000.0,3240000.0,3210000.0,3170000.0,3130000.0,3110000.0,3080000.0,3070000.0,3050000.0,3030000.0,3000000.0,2980000.0,2960000.0,2950000.0,2930000.0,2910000.0,2900000.0,2890000.0,2880000.0,2870000.0,2850000.0,2840000.0,2820000.0,2810000.0,2790000.0,2780000.0,2780000.0
Antigua and Barbuda,29900.0,30000.0,30100.0,30200.0,30300.0,30400.0,30600.0,31100.0,31700.0,32500.0,33500.0,34600.0,35600.0,36700.0,37900.0,39000.0,40000.0,40900.0,41600.0,42200.0,42500.0,42900.0,43300.0,43600.0,44000.0,44400.0,44900.0,45400.0,46400.0,47400.0,48300.0,49300.0,50300.0,51300.0,52200.0,53300.0,54300.0,55300.0,56200.0,57000.0,57800.0,58700.0,59600.0,60600.0,61600.0,62700.0,63700.0,64500.0,64800.0,64700.0,64500.0,64200.0,64000.0,64000.0,64099.0,64300.0,64599.0,64900.0,65099.0,65200.0,65400.0,65400.0,65000.0,64700.0,64400.0,64000.0,63600.0,63300.0,63600.0,64700.0,65800.0,67100.0,68400.0,69800.0,71200.0,72600.0,73800.0,75100.0,76200.0,77200.0,78100.0,78900.0,79900.0,80900.0,82000.0,83300.0,84500.0,85700.0,86700.0,87700.0,88500.0,89200.0,89900.0,90600.0,91100.0,91600.0,92100.0,92700.0,93200.0,93800.0,94300.0
Australia,5590000.0,5690000.0,5800000.0,5910000.0,6020000.0,6140000.0,6240000.0,6330000.0,6410000.0,6480000.0,6540000.0,6590000.0,6650000.0,6700000.0,6760000.0,6820000.0,6890000.0,6970000.0,7060000.0,7160000.0,7280000.0,7400000.0,7520000.0,7640000.0,7760000.0,7890000.0,8029999.0,8180000.0,8420000.0,8630000.0,8820000.0,9000000.0,9210000.0,9430000.0,9640000.0,9850000.0,10100000.0,10300000.0,10500000.0,10700000.0,10900000.0,11100000.0,11400000.0,11600000.0,11800000.0,12000000.0,12300000.0,12600000.0,13000000.0,13300000.0,13500000.0,13700000.0,13900000.0,14000000.0,14200000.0,14400000.0,14500000.0,14700000.0,14900000.0,15200000.0,15400000.0,15600000.0,15800000.0,16000000.0,16300000.0,16500000.0,16800000.0,17000000.0,17300000.0,17500000.0,17600000.0,17800000.0,18000000.0,18200000.0,18400000.0,18600000.0,18800000.0,19000000.0,19200000.0,19500000.0,19700000.0,19900000.0,20200000.0,20500000.0,20800000.0,21200000.0,21700000.0,22000000.0,22400000.0,22700000.0,23100000.0,23500000.0,23800000.0,24200000.0,24600000.0,25000000.0,25400000.0,25700000.0,25900000.0,26200000.0,26400000.0
Austria,6530000.0,6550000.0,6580000.0,6600000.0,6620000.0,6650000.0,6660000.0,6680000.0,6690000.0,6700000.0,6700000.0,6700000.0,6700000.0,6700000.0,6710000.0,6710000.0,6720000.0,6730000.0,6740000.0,6760000.0,6780000.0,6800000.0,6830000.0,6850000.0,6870000.0,6900000.0,6920000.0,6940000.0,6930000.0,6930000.0,6930000.0,6940000.0,6950000.0,6950000.0,6970000.0,6990000.0,7010000.0,7050000.0,7090000.0,7130000.0,7170000.0,7220000.0,7270000.0,7320000.0,7380000.0,7410000.0,7440000.0,7470000.0,7500000.0,7540000.0,7580000.0,7600000.0,7580000.0,7560000.0,7570000.0,7560000.0,7550000.0,7550000.0,7570000.0,7570000.0,7560000.0,7560000.0,7560000.0,7570000.0,7570000.0,7580000.0,7620000.0,7680000.0,7760000.0,7840000.0,7910000.0,7940000.0,7950000.0,7960000.0,7970000.0,7980000.0,7990000.0,8010000.0,8039999.0,8080000.0,8119999.0,8170000.0,8230000.0,8270000.0,8289999.0,8320000.0,8340000.0,8359999.0,8390000.0,8430000.0,8480000.0,8550000.0,8640000.0,8740000.0,8800000.0,8840000.0,8880000.0,8910000.0,8920000.0,8940000.0,8960000.0
Azerbaijan,2440000.0,2460000.0,2480000.0,2510000.0,2530000.0,2550000.0,2570000.0,2600000.0,2620000.0,2650000.0,2670000.0,2700000.0,2720000.0,2740000.0,2770000.0,2800000.0,2820000.0,2850000.0,2870000.0,2900000.0,2930000.0,2950000.0,2980000.0,3010000.0,3030000.0,3060000.0,3100000.0,3160000.0,3230000.0,3300000.0,3370000.0,3460000.0,3550000.0,3650000.0,3760000.0,3870000.0,4000000.0,4130000.0,4270000.0,4410000.0,4560000.0,4700000.0,4840000.0,4970000.0,5090000.0,5210000.0,5320000.0,5430000.0,5530000.0,5630000.0,5730000.0,5830000.0,5930000.0,6020000.0,6120000.0,6210000.0,6300000.0,6380000.0,6470000.0,6570000.0,6670000.0,6780000.0,6890000.0,7010000.0,7130000.0,7260000.0,7350000.0,7430000.0,7540000.0,7640000.0,7740000.0,7820000.0,7890000.0,7950000.0,8000000.0,8039999.0,8100000.0,8189999.0,8279999.0,8369999.0,8460000.0,8560000.0,8660000.0,8760000.0,8880000.0,9000000.0,9120000.0,9240000.0,9360000.0,9490000.0,9610000.0,9740000.0,9860000.0,9980000.0,10100000.0,10200000.0,10200000.0,10300000.0,10300000.0,10400000.0,10400000.0
